id,log_time,application,user_name,duration,access_count,role,Label
1,20-06-2024 16:06,Code.exe,aswin,0,1,Developer,0
2,20-06-2024 16:06,chrome.exe,aswin,0.43,1,Developer,0
3,20-06-2024 16:06,explorer.exe,aswin,0.03,1,Developer,0
4,20-06-2024 16:06,Code.exe,aswin,0.02,2,Developer,0
5,20-06-2024 16:07,WhatsApp,aswin,0.45,1,Developer,0
6,20-06-2024 16:07,Code.exe,aswin,0.02,3,Developer,0
7,20-06-2024 16:07,chrome.exe,aswin,0.05,2,Developer,0
8,20-06-2024 16:07,Code.exe,aswin,0.02,4,Developer,0
9,20-06-2024 16:07,Microsoft Store,aswin,0.2,1,Developer,0
10,20-06-2024 16:07,explorer.exe,aswin,0.04,2,Developer,0
11,20-06-2024 16:07,Code.exe,aswin,0.12,5,Developer,0
12,20-06-2024 16:08,Code.exe,aswin,0,1,Developer,0
13,20-06-2024 16:08,chrome.exe,aswin,0.05,1,Developer,0
14,20-06-2024 16:08,Code.exe,aswin,0.02,2,Developer,0
15,20-06-2024 16:08,WhatsApp,aswin,0.04,1,Developer,0
16,20-06-2024 16:08,Code.exe,aswin,0.34,3,Developer,0
17,20-06-2024 16:08,StartMenuExperienceHost.exe,aswin,0.14,1,Developer,0
18,20-06-2024 16:08,Mail,aswin,0.03,1,Developer,0
19,20-06-2024 16:10,Code.exe,aswin,0,1,Developer,0
20,20-06-2024 16:10,olk.exe,aswin,0.06,1,Developer,0
21,20-06-2024 16:10,Code.exe,aswin,0.02,2,Developer,0
22,20-06-2024 16:10,Home,aswin,0.22,1,Developer,0
23,20-06-2024 16:10,VayuDrishti,aswin,0.06,1,Developer,0
24,20-06-2024 16:10,Desktop,aswin,0.02,1,Developer,0
25,20-06-2024 16:10,Code.exe,aswin,0.05,3,Developer,0
26,20-06-2024 16:11,File Explorer,aswin,0.29,1,Developer,0
27,20-06-2024 16:11,Home,aswin,0.03,2,Developer,0
28,20-06-2024 16:11,Code.exe,aswin,0.05,4,Developer,0
29,20-06-2024 16:11,Home,aswin,0.07,3,Developer,0
30,20-06-2024 16:11,Desktop,aswin,0.05,2,Developer,0
31,20-06-2024 16:11,Code.exe,aswin,0.02,5,Developer,0
32,20-06-2024 16:11,regedit.exe,aswin,0.24,1,Developer,2
33,20-06-2024 16:11,Code.exe,aswin,0.03,6,Developer,0
34,20-06-2024 16:11,mmc.exe,aswin,0.37,1,Developer,2
35,20-06-2024 16:11,Code.exe,aswin,0.09,7,Developer,0
36,20-06-2024 16:12,Wireshark.exe,aswin,0.17,1,Developer,2
37,20-06-2024 16:12,Code.exe,aswin,0.12,8,Developer,0
38,20-06-2024 16:12,WhatsApp,aswin,0.59,1,Developer,0
39,20-06-2024 16:13,Notepad.exe,aswin,0.24,1,Developer,0
40,20-06-2024 16:13,Code.exe,aswin,0.59,9,Developer,0
41,20-06-2024 16:14,Acrobat.exe,aswin,0.29,1,Developer,0
42,20-06-2024 16:14,Code.exe,aswin,0.03,10,Developer,0
43,20-06-2024 16:14,Acrobat.exe,aswin,0.02,2,Developer,0
44,20-06-2024 16:14,WINWORD.EXE,aswin,0.42,1,Developer,0
45,20-06-2024 16:14,Code.exe,aswin,0.16,11,Developer,0
46,20-06-2024 16:14,Postman.exe,aswin,0.16,1,Developer,0
47,20-06-2024 16:14,ShellExperienceHost.exe,aswin,0.12,1,Developer,0
48,20-06-2024 16:14,Code.exe,aswin,0.02,12,Developer,0
49,20-06-2024 16:15,Docker Desktop.exe,aswin,0.17,1,Developer,0
50,20-06-2024 16:15,Code.exe,aswin,0.1,13,Developer,0
51,20-06-2024 16:15,StartMenuExperienceHost.exe,aswin,0.29,1,Developer,0
52,20-06-2024 16:15,Calculator,aswin,0.02,1,Developer,0
53,20-06-2024 16:15,Code.exe,aswin,0.06,14,Developer,0
54,20-06-2024 16:15,Settings,aswin,0.39,1,Developer,0
55,20-06-2024 16:16,Code.exe,aswin,0.58,15,Developer,0
56,20-06-2024 16:16,Settings,aswin,0.08,2,Developer,1
57,20-06-2024 16:16,Code.exe,aswin,0.2,16,Developer,0
58,20-06-2024 16:17,WindowsTerminal.exe,aswin,0.26,1,Developer,0
59,20-06-2024 16:17,Code.exe,aswin,0.07,17,Developer,0
60,20-06-2024 16:17,Settings,aswin,0.06,3,Developer,1
61,20-06-2024 16:17,Code.exe,aswin,0.05,18,Developer,0
62,20-06-2024 16:17,Settings,aswin,0.07,4,Developer,1
63,20-06-2024 16:17,Code.exe,aswin,0.21,19,Developer,0
64,20-06-2024 16:17,Settings,aswin,0.14,5,Developer,1
65,20-06-2024 16:17,Code.exe,aswin,0.06,20,Developer,0
66,20-06-2024 16:17,Settings,aswin,0.12,6,Developer,1
67,20-06-2024 16:17,Code.exe,aswin,0.04,21,Developer,0
68,20-06-2024 16:18,Windows Defender Firewall,aswin,0.16,1,Developer,2
69,20-06-2024 16:18,Code.exe,aswin,0.03,22,Developer,0
70,20-06-2024 16:18,Windows Defender Firewall,aswin,0.04,2,Developer,2
71,20-06-2024 16:18,File Explorer,aswin,0.11,2,Developer,0
72,20-06-2024 16:18,Control Panel,aswin,0.03,1,Developer,1
73,20-06-2024 16:18,Network and Internet,aswin,0.04,1,Developer,2
74,20-06-2024 16:18,rundll32.exe,aswin,0.05,1,Developer,2
75,20-06-2024 16:18,Network and Internet,aswin,0.02,2,Developer,2
76,20-06-2024 16:18,Hardware and Sound,aswin,0.04,1,Developer,2
77,20-06-2024 16:18,Appearance and Personalization,aswin,0.02,1,Developer,0
78,20-06-2024 16:18,Hardware and Sound,aswin,0.02,2,Developer,2
79,20-06-2024 16:18,Network and Internet,aswin,0.03,3,Developer,2
80,20-06-2024 16:18,Hardware and Sound,aswin,0.04,3,Developer,2
81,20-06-2024 16:18,mmc.exe,aswin,0.12,2,Developer,2
82,20-06-2024 16:18,Hardware and Sound,aswin,0.08,4,Developer,2
83,20-06-2024 16:18,Code.exe,aswin,0.03,23,Developer,0
84,20-06-2024 16:19,WindowsTerminal.exe,aswin,0.26,2,Developer,0
85,20-06-2024 16:19,Code.exe,aswin,0.06,24,Developer,0
86,20-06-2024 16:19,PickerHost.exe,aswin,0.2,1,Developer,1
87,20-06-2024 16:19,StartMenuExperienceHost.exe,aswin,0.22,2,Developer,0
88,20-06-2024 16:19,EXCEL.EXE,aswin,0.03,1,Developer,1
89,20-06-2024 16:20,Code.exe,aswin,0.64,25,Developer,0
90,20-06-2024 16:20,Code.exe,aswin,0.16,26,Developer,0
91,20-06-2024 16:20,Calendar,aswin,0.16,1,Developer,0
92,20-06-2024 16:20,Code.exe,aswin,0.04,27,Developer,0
93,20-06-2024 16:20,Camera,aswin,0.2,1,Developer,1
94,20-06-2024 16:20,Code.exe,aswin,0.09,28,Developer,0
95,20-06-2024 16:21,Skype.exe,aswin,0.63,1,Developer,0
96,20-06-2024 16:22,Home,aswin,0.74,4,Developer,0
97,20-06-2024 16:22,This PC,aswin,0.07,1,Developer,0
98,20-06-2024 16:22,Windows-SSD (C:),aswin,0.05,1,Developer,1
99,20-06-2024 16:22,This PC,aswin,0.02,2,Developer,1
100,20-06-2024 16:22,Code.exe,aswin,0.04,29,Developer,0
101,20-06-2024 16:22,This PC,aswin,0.2,3,Developer,1
102,20-06-2024 16:22,Windows-SSD (C:),aswin,0.04,2,Developer,1
103,20-06-2024 16:22,PerfLogs,aswin,0.02,1,Developer,2
104,20-06-2024 16:22,Windows-SSD (C:),aswin,0.04,3,Developer,1
105,20-06-2024 16:22,Destination Folder Access Denied,aswin,0.04,1,Developer,2
106,20-06-2024 16:22,Program Files,aswin,0.04,1,Developer,2
107,20-06-2024 16:22,Windows-SSD (C:),aswin,0.04,4,Developer,1
108,20-06-2024 16:22,Program Files (x86),aswin,0.02,1,Developer,2
109,20-06-2024 16:22,Code.exe,aswin,0.04,30,Developer,0
110,20-06-2024 16:23,File Explorer,aswin,0.36,3,Developer,0
111,20-06-2024 16:23,Ubuntu 24.04 LTS amd64 (D:),aswin,0.02,1,Developer,2
112,20-06-2024 16:23,AvastUI.exe,aswin,0.02,1,Developer,0
113,20-06-2024 16:23,Ubuntu 24.04 LTS amd64 (D:),aswin,0.02,2,Developer,2
114,20-06-2024 16:23,This PC,aswin,0.04,4,Developer,0
115,20-06-2024 16:23,Ubuntu 24.04 LTS amd64 (D:),aswin,0.04,3,Developer,2
116,20-06-2024 16:23,Code.exe,aswin,0.02,31,Developer,0
117,20-06-2024 16:23,File Explorer,aswin,0.09,4,Developer,0
118,20-06-2024 16:23,Home,aswin,0.02,5,Developer,0
119,20-06-2024 16:23,Ubuntu 24.04 LTS amd64 (D:),aswin,0.04,4,Developer,2
120,20-06-2024 16:23,This PC,aswin,0.06,5,Developer,1
121,20-06-2024 16:23,WindowsTerminal.exe,aswin,0.47,3,Developer,0
122,20-06-2024 16:23,Code.exe,aswin,0.04,32,Developer,0
123,20-06-2024 16:24,chrome.exe,aswin,0,1,Student,0
124,20-06-2024 16:24,Code.exe,aswin,0.04,1,Student,0
125,20-06-2024 16:25,chrome.exe,aswin,0.04,2,Student,0
126,20-06-2024 16:25,Code.exe,aswin,0.16,2,Student,0
127,20-06-2024 16:25,Settings,aswin,0.11,1,Student,1
128,20-06-2024 16:25,chrome.exe,aswin,0.07,3,Student,0
129,20-06-2024 16:25,Settings,aswin,0.22,2,Student,1
130,20-06-2024 16:25,Code.exe,aswin,0.02,3,Student,0
131,20-06-2024 16:25,Settings,aswin,0.04,3,Student,1
132,20-06-2024 16:25,Code.exe,aswin,0.02,4,Student,0
133,20-06-2024 16:25,Settings,aswin,0.02,4,Student,1
134,20-06-2024 16:25,Camera,aswin,0.15,1,Student,1
135,20-06-2024 16:25,Code.exe,aswin,0.1,5,Student,0
136,20-06-2024 16:25,StartMenuExperienceHost.exe,aswin,0.04,1,Student,1
137,20-06-2024 16:26,POWERPNT.EXE,aswin,0.04,1,Student,0
138,20-06-2024 16:26,Code.exe,aswin,0.09,6,Student,0
139,20-06-2024 16:26,WINWORD.EXE,aswin,0.59,1,Student,0
140,20-06-2024 16:26,Code.exe,aswin,0.11,7,Student,0
141,20-06-2024 16:27,Discord.exe,aswin,0.37,1,Student,1
142,20-06-2024 16:27,ShellExperienceHost.exe,aswin,0.06,1,Student,1
143,20-06-2024 16:27,WhatsApp,aswin,0.04,1,Student,1
144,20-06-2024 16:28,Code.exe,aswin,1.46,8,Student,0
145,20-06-2024 16:29,chrome.exe,aswin,0.44,4,Student,1
146,20-06-2024 16:29,Code.exe,aswin,0.02,9,Student,0
147,20-06-2024 16:29,WhatsApp,aswin,0.02,2,Student,1
148,20-06-2024 16:29,Code.exe,aswin,0.07,10,Student,0
149,20-06-2024 16:29,StartMenuExperienceHost.exe,aswin,0.09,2,Student,1
150,20-06-2024 16:29,Microsoft Sudoku,aswin,0.02,1,Student,2
151,20-06-2024 16:29,Code.exe,aswin,0.17,11,Student,0
152,20-06-2024 16:29,Solitaire & Casual Games,aswin,0.09,1,Student,2
153,20-06-2024 16:29,Code.exe,aswin,0.07,12,Student,0
154,20-06-2024 16:29,EXCEL.EXE,aswin,0.24,1,Student,1
155,20-06-2024 16:30,Code.exe,aswin,0.05,13,Student,0
156,20-06-2024 16:30,regedit.exe,aswin,0.15,1,Student,2
157,20-06-2024 16:30,Code.exe,aswin,0.02,14,Student,0
158,20-06-2024 16:30,Windows Defender Firewall,aswin,0.17,1,Student,2
159,20-06-2024 16:30,Code.exe,aswin,0.05,15,Student,0
160,20-06-2024 16:30,Wireshark.exe,aswin,0.07,1,Student,1
161,20-06-2024 16:30,Code.exe,aswin,0.05,16,Student,0
162,20-06-2024 16:30,mspaint.exe,aswin,0.35,1,Student,0
163,20-06-2024 16:30,Code.exe,aswin,0.02,17,Student,0
164,20-06-2024 16:30,StartMenuExperienceHost.exe,aswin,0.09,3,Student,1
165,20-06-2024 16:31,Code.exe,aswin,0.02,18,Student,0
166,20-06-2024 16:31,Acrobat.exe,aswin,0.04,1,Student,0
167,20-06-2024 16:31,Code.exe,aswin,0.09,19,Student,0
168,20-06-2024 16:31,StartMenuExperienceHost.exe,aswin,0.1,4,Student,0
169,20-06-2024 16:31,Photos.exe,aswin,0.04,1,Student,1
170,20-06-2024 16:31,Code.exe,aswin,0.02,20,Student,0
171,20-06-2024 16:32,Code.exe,aswin,0,1,Student,0
172,20-06-2024 16:32,WindowsTerminal.exe,aswin,0.14,1,Student,1
173,20-06-2024 16:32,Code.exe,aswin,0.05,2,Student,0
174,20-06-2024 16:32,cmd.exe,aswin,0.16,1,Student,2
175,20-06-2024 16:32,Code.exe,aswin,0.06,3,Student,0
176,20-06-2024 16:32,File Explorer,aswin,0.1,1,Student,1
177,20-06-2024 16:32,Network Connections,aswin,0.02,1,Student,2
178,20-06-2024 16:32,Code.exe,aswin,0.02,4,Student,0
179,20-06-2024 16:32,Network Connections,aswin,0.02,2,Student,2
180,20-06-2024 16:32,Code.exe,aswin,0.04,5,Student,0
181,20-06-2024 16:34,Code.exe,aswin,0,1,Marketing,0
182,20-06-2024 16:34,POWERPNT.EXE,aswin,0.14,1,Marketing,0
183,20-06-2024 16:34,EXCEL.EXE,aswin,0.12,1,Marketing,0
184,20-06-2024 16:34,chrome.exe,aswin,0.17,1,Marketing,0
185,20-06-2024 16:35,WhatsApp,aswin,0.12,1,Marketing,0
186,20-06-2024 16:35,File Explorer,aswin,0.05,1,Marketing,0
187,20-06-2024 16:35,Home,aswin,0.02,1,Marketing,0
188,20-06-2024 16:35,Settings,aswin,0.1,1,Marketing,1
189,20-06-2024 16:35,Home,aswin,0.68,2,Marketing,0
190,20-06-2024 16:36,Windows Defender Firewall,aswin,0.1,1,Marketing,2
191,20-06-2024 16:36,Home,aswin,0.04,3,Marketing,0
192,20-06-2024 16:36,regedit.exe,aswin,0.14,1,Marketing,2
193,20-06-2024 16:36,Home,aswin,0.02,4,Marketing,0
194,20-06-2024 16:36,WindowsTerminal.exe,aswin,0.07,1,Marketing,2
195,20-06-2024 16:36,Home,aswin,0.04,5,Marketing,0
196,20-06-2024 16:36,WindowsTerminal.exe,aswin,0.05,2,Marketing,2
197,20-06-2024 16:36,Home,aswin,0.02,6,Marketing,0
198,20-06-2024 16:36,Code.exe,aswin,0.04,2,Marketing,1
199,20-06-2024 16:36,Home,aswin,0.06,7,Marketing,0
200,20-06-2024 16:36,chrome.exe,aswin,0.04,2,Marketing,0
201,20-06-2024 16:36,WINWORD.EXE,aswin,0.07,1,Marketing,1
202,20-06-2024 16:36,chrome.exe,aswin,0.05,3,Marketing,0
203,20-06-2024 16:37,Discord.exe,aswin,1.24,1,Marketing,1
204,20-06-2024 16:38,ShellExperienceHost.exe,aswin,0.45,1,Marketing,1
205,20-06-2024 16:38,chrome.exe,aswin,0.02,4,Marketing,0
206,20-06-2024 16:38,StartMenuExperienceHost.exe,aswin,0.29,1,Marketing,0
207,20-06-2024 16:38,Postman.exe,aswin,0.24,1,Marketing,1
208,20-06-2024 16:38,chrome.exe,aswin,0.09,5,Marketing,0
209,20-06-2024 16:39,mmc.exe,aswin,0.29,1,Marketing,2
210,20-06-2024 16:39,chrome.exe,aswin,0.02,6,Marketing,0
211,20-06-2024 16:39,Wireshark.exe,aswin,0.14,1,Marketing,2
212,20-06-2024 16:39,chrome.exe,aswin,0.07,7,Marketing,0
213,20-06-2024 16:39,Code.exe,aswin,0.02,3,Marketing,1
